,StockId,chassis,Model,Engine Capacity,Drive Type,Transmission,Port,Sale Location,Grade/Class,Mileage,Steering,Engine Code,Color,Interior Color,Fuel Type,Seats,Doors,Total Views,source
1504,Stock No. 846800,VR2E26-028232,CARAVAN VAN,2000 CC,2wheel drive,AT,City 1,MESSINA STOCK DBN DEPO,DX,227099 KM,Right,QR20,White,Gray,Gasoline/Petrol,6,5,01,Janjapan/namibia
1505,Stock No. 833307,SKP2V-214023,BONGO VAN,1800 CC,2wheel drive,AT,Tokyo,MESSINA STOCK DBN DEPO,,246851 KM,Right,L8,White,Gray,Gasoline/Petrol,5,4,02,Janjapan/namibia
1506,Stock No. 854970,K13-033556,MARCH,1200 CC,2wheel drive,AT,City 1,Arrived At Port,12S_V,117158 KM,Right,HR12,Brown,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
1507,Stock No. 855109,NSP120-3001260,RACTIS,1300 CC,2wheel drive,AT,Nagoya,Q1,X,35546 KM,Right,1NR,Silver,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
1508,Stock No. 864360,DEJFS-143129,DEMIO,1300 CC,2wheel drive,AT,Toyama,ON The Way,1.3,193492 KM,Right,P3,Red,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
1509,Stock No. 866219,YF15-211118,JUKE,1490 CC,2wheel drive,AT,City 1,ON The Way,RS,119340 KM,Right,HR15,Brown,Gray,Gasoline/Petrol,5,5,01,Janjapan/namibia
1510,Stock No. 868971,WVWZZZAAZDD014382,UP,1000 CC,2wheel drive,AT,Tokyo,ON The Way,,162823 KM,Right,CHY,Black,Gray,Gasoline/Petrol,4,5,0,Janjapan/namibia
1511,Stock No. 857457,DEJFS-132133,DEMIO,1300 CC,2wheel drive,AT,Fukuoka,ON The Way,13-S,43546 KM,Right,,Silver,Gray,Gasoline/Petrol,5,5,02,Janjapan/namibia
1512,Stock No. 867055,DE3FS-540039,DEMIO,1300 CC,2wheel drive,AT,Sendai,New Loading Invoiced,CV,109747 KM,Right,,Black,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
1513,Stock No. 869195,KSP130-2064209,VITZ,1000 CC,2wheel drive,AT,Fukuoka,ON The Way,F,159460 KM,Right,1KR,LIGHT PURPLE,Gray,Gasoline/Petrol,5,5,0,Janjapan/namibia
